File accession,File format,Output type,Experiment accession,Assay,Biosample term id,Biosample term name,Biosample type,Biosample life stage,Biosample sex,Biosample organism
ENCFF461FOJ,bam,alignments,ENCSR709CLU,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF152DDY,bam,alignments,ENCSR709CLU,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF255WQY,bam,alignments,ENCSR008WOQ,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF527GCV,bam,alignments,ENCSR008WOQ,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF185XDY,bam,alignments,ENCSR837SKW,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF590YBI,bam,alignments,ENCSR837SKW,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF809JLP,bam,alignments,ENCSR129OJN,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF836LGE,bam,alignments,ENCSR129OJN,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF935FDP,bam,alignments,ENCSR736GVO,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF319TLJ,bam,alignments,ENCSR736GVO,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF092RWB,bam,alignments,ENCSR731OMP,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF953WGF,bam,alignments,ENCSR731OMP,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF181NTG,bam,alignments,ENCSR759RVE,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF598ZFH,bam,alignments,ENCSR759RVE,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF984VBZ,bam,alignments,ENCSR758UAI,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF124TCN,bam,alignments,ENCSR758UAI,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF248UKT,bam,alignments,ENCSR947QOH,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF811JGW,bam,alignments,ENCSR947QOH,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF903NUM,bam,alignments,ENCSR706PSQ,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF537KDI,bam,alignments,ENCSR706PSQ,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF567DRW,bam,alignments,ENCSR044SUW,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF594EIM,bam,alignments,ENCSR044SUW,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF059LYZ,bam,alignments,ENCSR045NOD,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF186WHZ,bam,alignments,ENCSR045NOD,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF180FSZ,bam,alignments,ENCSR426EZM,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF110VQJ,bam,alignments,ENCSR426EZM,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF665HAL,bam,alignments,ENCSR258AED,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF418YDX,bam,alignments,ENCSR258AED,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF304FXZ,bam,alignments,ENCSR349NIS,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF013FXY,bam,alignments,ENCSR349NIS,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF085HLN,bam,alignments,ENCSR253IEG,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF590NMT,bam,alignments,ENCSR253IEG,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF923GVJ,bam,alignments,ENCSR496TBX,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF500HXC,bam,alignments,ENCSR496TBX,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF459SIX,bam,alignments,ENCSR175KBJ,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF872IZV,bam,alignments,ENCSR175KBJ,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF753BDG,bam,alignments,ENCSR905FFU,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF101TZV,bam,alignments,ENCSR905FFU,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF882GPF,bam,alignments,ENCSR420MUV,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF174VJA,bam,alignments,ENCSR420MUV,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF536TSM,bam,alignments,ENCSR344HHI,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF238QVV,bam,alignments,ENCSR344HHI,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF402ZUD,bam,alignments,ENCSR671NSS,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF688UYV,bam,alignments,ENCSR671NSS,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF036OYI,bam,alignments,ENCSR311YPF,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF099KYJ,bam,alignments,ENCSR311YPF,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF781PRL,bam,alignments,ENCSR985UTP,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF405QAR,bam,alignments,ENCSR985UTP,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF200EJF,bam,alignments,ENCSR416OYH,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF109OBO,bam,alignments,ENCSR416OYH,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF587RPT,bam,alignments,ENCSR057BKH,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF211IMR,bam,alignments,ENCSR057BKH,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF963HWO,bam,alignments,ENCSR315ZEU,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF174JBQ,bam,alignments,ENCSR315ZEU,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF361EPG,bam,alignments,ENCSR167ZGV,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF615ZQC,bam,alignments,ENCSR167ZGV,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF412SLM,bam,alignments,ENCSR835BZO,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF435WKO,bam,alignments,ENCSR835BZO,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF275UYN,bam,alignments,ENCSR220PXJ,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF301ZSF,bam,alignments,ENCSR220PXJ,ChIP-seq,UBERON:0002107,liver,tissue,embryonic,mixed,Mus musculus
ENCFF269MZC,bam,alignments,ENCSR465WTL,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF170XAR,bam,alignments,ENCSR465WTL,ChIP-seq,UBERON:0002101,limb,tissue,embryonic,mixed,Mus musculus
ENCFF493BXI,bam,alignments,ENCSR742ZUI,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF330HOT,bam,alignments,ENCSR742ZUI,ChIP-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,mixed,Mus musculus
ENCFF455EJT,bam,alignments,ENCSR545RUT,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF844LBC,bam,alignments,ENCSR545RUT,ChIP-seq,UBERON:0002028,hindbrain,tissue,embryonic,mixed,Mus musculus
ENCFF674GBO,bam,alignments,ENCSR359ETU,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF541RVC,bam,alignments,ENCSR359ETU,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF189CVV,bam,alignments,ENCSR583ZEV,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF366PSQ,bam,alignments,ENCSR583ZEV,ChIP-seq,UBERON:0001890,forebrain,tissue,embryonic,mixed,Mus musculus
ENCFF000ZUZ,bam,alignments,ENCSR828WYU,ChIP-seq,EFO:0002067,K562,immortalized cell line,adult,female,Homo sapiens
ENCFF000VPP,bam,alignments,ENCSR496AXR,ChIP-seq,EFO:0001086,A549,immortalized cell line,adult,male,Homo sapiens
ENCFF223NZV,bam,alignments,ENCSR972MRN,ChIP-seq,EFO:0003971,MEL cell line,immortalized cell line,unknown,unknown,Mus musculus
ENCFF593UBW,bam,alignments,ENCSR972MRN,ChIP-seq,EFO:0003971,MEL cell line,immortalized cell line,unknown,unknown,Mus musculus
ENCFF907HUT,bam,alignments,ENCSR705HGT,ChIP-seq,EFO:0003971,MEL cell line,immortalized cell line,unknown,unknown,Mus musculus
ENCFF286XMC,bam,alignments,ENCSR705HGT,ChIP-seq,EFO:0003971,MEL cell line,immortalized cell line,unknown,unknown,Mus musculus
ENCFF230ACF,bam,alignments,ENCSR349JDH,ChIP-seq,EFO:0003971,MEL cell line,immortalized cell line,unknown,unknown,Mus musculus
ENCFF042EWQ,bam,alignments,ENCSR349JDH,ChIP-seq,EFO:0003971,MEL cell line,immortalized cell line,unknown,unknown,Mus musculus
ENCFF440BSC,bam,alignments,ENCSR135SWH,ChIP-seq,EFO:0003971,MEL cell line,immortalized cell line,unknown,unknown,Mus musculus
ENCFF931LLJ,bam,alignments,ENCSR135SWH,ChIP-seq,EFO:0003971,MEL cell line,immortalized cell line,unknown,unknown,Mus musculus
ENCFF163NKO,bam,alignments,ENCSR867SDZ,ChIP-seq,EFO:0003971,MEL cell line,immortalized cell line,unknown,unknown,Mus musculus
ENCFF052OAN,bam,alignments,ENCSR867SDZ,ChIP-seq,EFO:0003971,MEL cell line,immortalized cell line,unknown,unknown,Mus musculus
ENCFF957RNI,bam,alignments,ENCSR033OWC,ChIP-seq,EFO:0003971,MEL cell line,immortalized cell line,unknown,unknown,Mus musculus
ENCFF538BMI,bam,alignments,ENCSR033OWC,ChIP-seq,EFO:0003971,MEL cell line,immortalized cell line,unknown,unknown,Mus musculus
ENCFF706XAJ,bam,alignments,ENCSR604XDL,ChIP-seq,NTR:0001510,ES-E14,stem cell,embryonic,male,Mus musculus
ENCFF343FQU,bam,alignments,ENCSR604XDL,ChIP-seq,NTR:0001510,ES-E14,stem cell,embryonic,male,Mus musculus
ENCFF819NZN,bam,alignments,ENCSR531HWD,ChIP-seq,NTR:0001510,ES-E14,stem cell,embryonic,male,Mus musculus
ENCFF208VKG,bam,alignments,ENCSR531HWD,ChIP-seq,NTR:0001510,ES-E14,stem cell,embryonic,male,Mus musculus
ENCFF982TNR,bam,alignments,ENCSR973SOG,ChIP-seq,EFO:0005233,CH12.LX,immortalized cell line,unknown,female,Mus musculus
ENCFF251NRS,bam,alignments,ENCSR973SOG,ChIP-seq,EFO:0005233,CH12.LX,immortalized cell line,unknown,female,Mus musculus
ENCFF501VIR,bam,alignments,ENCSR906QEK,ChIP-seq,EFO:0005233,CH12.LX,immortalized cell line,unknown,female,Mus musculus
ENCFF887OHE,bam,alignments,ENCSR906QEK,ChIP-seq,EFO:0005233,CH12.LX,immortalized cell line,unknown,female,Mus musculus
ENCFF889MSI,bam,alignments,ENCSR980YXJ,ChIP-seq,EFO:0005233,CH12.LX,immortalized cell line,unknown,female,Mus musculus
ENCFF570ABH,bam,alignments,ENCSR980YXJ,ChIP-seq,EFO:0005233,CH12.LX,immortalized cell line,unknown,female,Mus musculus
ENCFF052XAJ,bam,alignments,ENCSR806JZK,ChIP-seq,EFO:0005233,CH12.LX,immortalized cell line,unknown,female,Mus musculus
ENCFF540GGK,bam,alignments,ENCSR806JZK,ChIP-seq,EFO:0005233,CH12.LX,immortalized cell line,unknown,female,Mus musculus
ENCFF836OSL,bam,alignments,ENCSR743ZJL,ChIP-seq,EFO:0005233,CH12.LX,immortalized cell line,unknown,female,Mus musculus
ENCFF737GDS,bam,alignments,ENCSR743ZJL,ChIP-seq,EFO:0005233,CH12.LX,immortalized cell line,unknown,female,Mus musculus
ENCFF379OHH,bam,alignments,ENCSR293WTN,ChIP-seq,EFO:0005233,CH12.LX,immortalized cell line,unknown,female,Mus musculus
ENCFF068TCP,bam,alignments,ENCSR293WTN,ChIP-seq,EFO:0005233,CH12.LX,immortalized cell line,unknown,female,Mus musculus
ENCFF002ART,bam,alignments,ENCSR392DGA,ChIP-seq,NTR:0001510,ES-E14,stem cell,embryonic,male,Mus musculus
ENCFF002ARU,bam,alignments,ENCSR392DGA,ChIP-seq,NTR:0001510,ES-E14,stem cell,embryonic,male,Mus musculus
ENCFF002ARY,bam,alignments,ENCSR392DGA,ChIP-seq,NTR:0001510,ES-E14,stem cell,embryonic,male,Mus musculus
ENCFF002AED,bam,alignments,ENCSR779CZG,ChIP-seq,NTR:0001510,ES-E14,stem cell,embryonic,male,Mus musculus
ENCFF002AEE,bam,alignments,ENCSR779CZG,ChIP-seq,NTR:0001510,ES-E14,stem cell,embryonic,male,Mus musculus
ENCFF002AEI,bam,alignments,ENCSR779CZG,ChIP-seq,NTR:0001510,ES-E14,stem cell,embryonic,male,Mus musculus
ENCFF002ADP,bam,alignments,ENCSR194GNY,ChIP-seq,UBERON:0002107,liver,tissue,adult,unknown,Mus musculus
ENCFF002ADQ,bam,alignments,ENCSR194GNY,ChIP-seq,UBERON:0002107,liver,tissue,adult,unknown,Mus musculus
ENCFF002ADT,bam,alignments,ENCSR194GNY,ChIP-seq,UBERON:0002107,liver,tissue,adult,unknown,Mus musculus
ENCFF001ZYZ,bam,alignments,ENCSR734EYQ,ChIP-seq,UBERON:0002107,liver,tissue,adult,unknown,Mus musculus
ENCFF001ZZA,bam,alignments,ENCSR734EYQ,ChIP-seq,UBERON:0002107,liver,tissue,adult,unknown,Mus musculus
ENCFF001ZZB,bam,alignments,ENCSR734EYQ,ChIP-seq,UBERON:0002107,liver,tissue,adult,unknown,Mus musculus
ENCFF001ZQU,bam,alignments,ENCSR362VNF,ChIP-seq,NTR:0001510,ES-E14,stem cell,embryonic,male,Mus musculus
ENCFF001ZQV,bam,alignments,ENCSR362VNF,ChIP-seq,NTR:0001510,ES-E14,stem cell,embryonic,male,Mus musculus
ENCFF001ZQZ,bam,alignments,ENCSR362VNF,ChIP-seq,NTR:0001510,ES-E14,stem cell,embryonic,male,Mus musculus
ENCFF720XEG,bam,alignments,ENCSR450ITF,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF886SLV,bam,alignments,ENCSR450ITF,ChIP-seq,UBERON:0001891,midbrain,tissue,embryonic,mixed,Mus musculus
ENCFF362MXD,bam,alignments,ENCSR497YBQ,ChIP-seq,UBERON:0000945,stomach,tissue,embryonic,mixed,Mus musculus
ENCFF991ANF,bam,alignments,ENCSR280SYC,ChIP-seq,UBERON:0002048,lung,tissue,embryonic,mixed,Mus musculus
ENCFF387UYW,bam,alignments,ENCSR091DHJ,ChIP-seq,UBERON:0002113,kidney,tissue,embryonic,mixed,Mus musculus
ENCFF775YLK,bam,alignments,ENCSR645QSY,ChIP-seq,UBERON:0000160,intestine,tissue,embryonic,mixed,Mus musculus
ENCFF374PDH,bam,alignments,ENCSR076MXH,ChIP-seq,UBERON:0000945,stomach,tissue,embryonic,mixed,Mus musculus
ENCFF480HWS,bam,alignments,ENCSR076MXH,ChIP-seq,UBERON:0000945,stomach,tissue,embryonic,mixed,Mus musculus
ENCFF161ZAY,bam,alignments,ENCSR924FJQ,ChIP-seq,UBERON:0002048,lung,tissue,embryonic,mixed,Mus musculus
ENCFF953USK,bam,alignments,ENCSR924FJQ,ChIP-seq,UBERON:0002048,lung,tissue,embryonic,mixed,Mus musculus
ENCFF788SXX,bam,alignments,ENCSR658TDS,ChIP-seq,UBERON:0002113,kidney,tissue,embryonic,mixed,Mus musculus
ENCFF173KEC,bam,alignments,ENCSR658TDS,ChIP-seq,UBERON:0002113,kidney,tissue,embryonic,mixed,Mus musculus
ENCFF652KRQ,bam,alignments,ENCSR485GTY,ChIP-seq,UBERON:0000160,intestine,tissue,embryonic,mixed,Mus musculus
ENCFF955BIC,bam,alignments,ENCSR485GTY,ChIP-seq,UBERON:0000160,intestine,tissue,embryonic,mixed,Mus musculus
ENCFF182LIJ,bam,alignments,ENCSR825OWH,ChIP-seq,UBERON:0002048,lung,tissue,embryonic,mixed,Mus musculus
ENCFF282WRJ,bam,alignments,ENCSR825OWH,ChIP-seq,UBERON:0002048,lung,tissue,embryonic,mixed,Mus musculus
ENCFF243MUG,bam,alignments,ENCSR316CNR,ChIP-seq,UBERON:0000945,stomach,tissue,embryonic,mixed,Mus musculus
ENCFF780AMJ,bam,alignments,ENCSR316CNR,ChIP-seq,UBERON:0000945,stomach,tissue,embryonic,mixed,Mus musculus
ENCFF042OJU,bam,alignments,ENCSR452WYC,ChIP-seq,UBERON:0002048,lung,tissue,embryonic,mixed,Mus musculus
ENCFF112OZY,bam,alignments,ENCSR452WYC,ChIP-seq,UBERON:0002048,lung,tissue,embryonic,mixed,Mus musculus
ENCFF751IBT,bam,alignments,ENCSR057SHA,ChIP-seq,UBERON:0002113,kidney,tissue,embryonic,mixed,Mus musculus
ENCFF241KGJ,bam,alignments,ENCSR057SHA,ChIP-seq,UBERON:0002113,kidney,tissue,embryonic,mixed,Mus musculus
ENCFF587FSJ,bam,alignments,ENCSR424END,ChIP-seq,UBERON:0000160,intestine,tissue,embryonic,mixed,Mus musculus
ENCFF490OUY,bam,alignments,ENCSR424END,ChIP-seq,UBERON:0000160,intestine,tissue,embryonic,mixed,Mus musculus
ENCFF444QHP,bam,alignments,ENCSR023VJO,ChIP-seq,UBERON:0000945,stomach,tissue,embryonic,mixed,Mus musculus
ENCFF438XLZ,bam,alignments,ENCSR023VJO,ChIP-seq,UBERON:0000945,stomach,tissue,embryonic,mixed,Mus musculus
